,0
0,﻿Have you seen Dr. Meade?
2,Dr. Meade!
4,"Oh, can you help me"
5,find Dr. Meade?
7,"God, help us."
9,"God, save"
10,the Confederacy!
12,"Hello, my fellow Americans."
14,They say we may have lost the battle
15,but we didn't lose the war.
17,"Yes, my friends,"
18,we are under attack.
20,You may have read about this
21,in your local newspapers
23,or seen it
24,on the evening news.
26,That's right.
28,We are living in an era
29,marked by the spread
31,of integration
32,and miscegenation.
34,The Brown decision.
36,Ah-ah-ah!
38,"The Brown decision,"
40,forced upon us by
41,the Jewish-controlled puppets
43,"on the U.S. Supreme Court,"
45,compelling white children
46,to go to school
48,"with an inferior race,"
50,is the final nail
51,in a coffin.
53,Is the final nail
54,in a black coffin
56,towards America becoming
57,a mongrel nation.
59,We had a great way
60,of life. We had.
62,"Ma, ma, ma, ma, ma!"
64,We had a great way of life.
66,We had a great way of life
68,until the Martin Luther Coons
69,of this world
71,and their army of Commies
73,started their
74,civil rights assault
76,against our holy white
77,Protestant values.
79,Do you really want your precious white child
80,going to school with Negroes?
82,"They're lying, dirty monkeys,"
84,stopping at nothing to gain
85,their equality with white men.
87," Oh, my God."
88," Rapists, murderers,"
90,craving the virgin white.
92," Is it ""virgin pure""?"
93, Yes.
95,"Rapists, murderers,"
97,craving the virgin pure
98,flesh of white women.
100,They are super predators!
102,"And the Negro's insidious tactics,"
103,"under the tutelage of high-ranking,"
105,"blood-sucking Jews,"
107,using an army of outside
108,northern black beast.
110,"What is it? ""Black beast."""
112," ""Agitators."""
113," God, watch this! God!"
115,Using an army of outside
116,northern black beast agitators
118,determined to overthrow
119,the God-commanded
121,and biblically inspired rule
122,of the white race.
124,It's an international
125,Jewish conspiracy.
127,May God bless us all.
129,God
130,"bless you, too, sir."
132,Why weren't you drafted
133,into the Vietnam War?
135,"I went to college, sir."
137,How do you feel
138,about Vietnam?
140,"I have mixed feelings, sir."
142,Would you call yourself
143,a womanizer?
145," No, I would not, sir."
146, You frequent nightclubs?
148," No, sir."
149, Do you drink?
151,Only on special
152,"occasions, sir."
154,Ever done any drugs?
156,Only those prescribed
157,"by my doctor, sir."
159,"Well, that's kind of rare for a young,"
160,hip soul brother like you.
162,"Uh, yes, sir."
164,But my father
165,"was in the military,"
167,"and my parents,"
168,they raised me the right way.
170,How do you get along
171,"with people, generally?"
173,"Sir, they treat me right,"
174,I treat them right.
176,"Like I said before,"
177,"I was raised up the right way, so."
179,"I mean, have you ever"
180,had any negative.
182,What would you do if another cop
183,called you a nigger?
185,Or worse.
187,"Would that happen, sir?"
189,Shit.
191,There's never been
192,a black cop in this city.
194,"Now, if we make you an officer,"
195,"you will, in effect,"
197,be the Jackie Robinson of
198,the Colorado Springs Police Force.
200,And if you know anything
201,"about Jackie Robinson,"
203,you know he had to take
204,"a lot of, uh, guff"
206,"from his fellow teammates,"
207,"the fans,"
209,other teams and the press.
211,I know the Jackie Roosevelt Robinson
212,"story, sir."
214,"Good. So, knowing that,"
215,"if somebody calls you a nigger,"
217,will you be able
218,to turn the other cheek?
220,"If I had to, sir, yes."
222,"Yes, I would."
224,"Son, the mayor,"
225,the Chief and I think
227,you might be the man
228,to open things up around here.
230,Chief Bridges will be
231,your Branch Rickey.
233,I'll have your back.
235,But I can only do so much.
237,The weight of this
238,is going to be on you
240,and you alone.
242,"Thank you for the opportunity,"
243,gentlemen.
245, Wow. Cybill Shepherd.
246, Yeah.
248,I loved her
249,in The Last Picture Show.
251,Never saw it.
253,I don't like
254,black-and-white movies.
256,"So, what do you think?"
258,I think she's
259,a really good actress.
261,"Oh, come on. You know"
262,you want some of that.
264,Looking for a toad here.
266,You're up.
268,Give me the record
269,"for that toad, Maurice Smalls."
271,"While you're at it,"
272,"grab another toad,"
274,Tippy Birdsong.
276,T-I-P-P-Y.
278,Can I help you?
280,May I have
281,"a minute, please?"
283,Sit.
285,"Sergeant Trapp,"
286,"Chief Bridges,"
288,I'll get right to it.
290,I'd like to be
291,an undercover detective.
293,"What, like Narcotics?"
295,Whichever department
296,"works, sir."
298,You just joined
299,"the force, rookie."
301,I think I can do
302,some real good there.
304, Is that right?
305, I'm young.
307,There's a real niche for me.
309,Get in where I fit in.
311,You think a lot
312,"of yourself, don't you?"
314,I'll do
315,whatever it takes.
317,And I hate
318,the records room.
320,Well.
322,I think records is a good place for you
323,"to start, rookie."
325,"Chief, do you want me"
326,clean-shaven?
328,I can even chop down
329,the natural.
331,"No, no, no. You keep it."
333,I like the look.
335,I need a file on a toad.
337,You deaf?
339,I said I need
340,a file on a toad.
342, No toads here.
343, Excuse me?
345,I said I don't
346,have any toads.
348,I do have human beings.
350,"You give me their names,"
351,I'll get you the file.
353,I heard you think
354,"you're hot shit,"
356,but you ain't nothing
357,but a cold fart.
359,The name
360,is Steven Wilson.
362,Was that respectful
363,"enough for you,"
365,Officer Toad?
367, Hello.
368, It's Bridges.
370,You sleeping?
372,"Uh, yeah, Chief."
374,Um.
376,Worked an all-night shift.
378,I've changed my mind.
380,You're coming in
381,a little early today.
383,I got an assignment for you.
385,12:00 noon sharp.
387,Narcotics division.
389," Yes, sir."
390, Wear street clothes.
392,Thank you.
394,CP time?
396,"Jimmy, the rookie's late."
398," You're late, rookie."
399, Sorry. Won't happen again.
401,"We have limited time,"
402,so I'll be quick.
404,"The black radical,"
405,"Stokely Carmichael,"
407,is giving a speech tonight
408,at Bell's Nightingale.
410, Yep.
411, Carmichael is a former
413,high-muckety-muck
414,with the Black Panthers.
416,"And as far as I'm concerned,"
417,FBI Director J. Edgar Hoover
419,was dead right when he said
420,the Black Panthers
422,are the greatest internal threat to
423,the security of these United States.
425,"This Carmichael joker,"
427,"former Panther or not, well,"
428,"they say he is a damn good speaker,"
430,and so we don't want
431,this Carmichael
433,getting into the minds
434,of the good black people
436,here in Colorado Springs
437,and stirring them up.
439,"Ron, your assignment is to go"
440,"to this speech tonight,"
442,infiltrate this bunch
443,of subversives
445,and just monitor the audience reaction
446,to Carmichael's speech.
448, You ready?
449, Born ready.
451,I'm not ready.
453,Any chance
454,this thing fucks up?
456,"Oh, fuck yeah."
458,Then what?
460, Just stick to the game plan.
461, Which is?
463,"Eh, improvise."
465, Like jazz.
466, Like bebop.
468,This isn't some big bust.
470,We just want some intel.
471,That's it.
473,And what if someone offers you
474,a marijuana cigarette?
476, You mean a joint?
477, Yeah.
479,Mary Jane.
481,Excuse me.
483,"Soul brother,"
485,I'm already high
486,on life. Can you dig it?
488, It's dug.
489, My man.
491,And if someone pulls
492,a gun on you?
494,Will that happen?
496, Barrel of a.45 in your face.
497, Shit.
499,Finger on the trigger.
500,Now what?
502,"Blood, get that gun"
503,out of my face.
505,"Peace, love and soul."
507,Gun is still in your face.
509,"I de-escalate,"
510,"talk calmly, firmly."
512,Find a way
513,out of there ASAP.
515,Relax. We'll be outside
516,listening in.
518, Okay.
519, Got it?
521,I got it. I'm gone.
523,Here we go.
525, We need to take action.
526, I can't believe he's here.
528,I just have so many
529,questions to ask him.
531,"But, um."
533,"How are you, uh."
535,How are you doing
536,"this evening, my sister?"
538,Can we help you?
540,"I'm doing fine, my brother."
542,What? We don't know him.
544,"What? Hakeem,"
545,why you dragging me?
547,It's going to be
548,an amazing night.
550,"Indeed, it is."
552,Have you heard Brother Kwame
553,speak before?
555,Who?
557,Kwame Ture.
559,"Oh! Well, actually, I haven't, but."
561, Okay.
562, I didn't realize he changed his name.
564,"Yes, after he"
565,moved to Africa.
567,He took the names
568,of Kwame Nkrumah of Ghana
570,"and his mentor,"
571,"Sékou Touré of Guinea,"
573,to honor the great leaders.
575," Well, that is heavy."
576, Mmm-hmm.
578,You know how he got
579,to Colorado Springs?
581,"Yeah, yeah."
582,The Colorado College Black Student Union invited him.
584," Oh, I can dig it. I can dig it."
585, Mmm-hmm.
587,Are you.
588,Are you part of the Union?
590,I'm the president.
592,Really? I'm talking
593,to the president right now?
595,"Yes, you are."
597,"Right on, sister."
599,"Well, I bought a ticket."
601,May I skip the line since I'm talking
602,to the president?
604,There's no cutting
605,in line.
607,To the back.
609,See you inside?
611,"I'll see you inside,"
612,my brother.
614, Mrs. President.
615, Right on.
617,"Ungawa, Black Power!"
619,The Black Student Union
620,of Colorado College
622,is honored to bring the vanguard
623,of revolutionaries
625,fighting for the rights of black people
626,all over the world.
628,Let's show some black love
630,"to the one and only,"
631,the brother man with a plan
633, who is sticking it to the man.
634," Right on, right on."
636,"Put your hands together,"
637,"my people, for our Kwame Ture."
639,"Thank you, Sister Patrice."
641, Thank you.
642, And the Black Student Union.
644,"I want to thank all of you,"
646,"my beloved sisters and brothers,"
647,for coming out tonight.
649,Okay!
651,But I'm here tonight
652,to tell you
654,that it is time
656,for you to stop running away
657,from being black.
659,Boom-shaka-laka!
661,It is time for you to stop
662,running away from being black.
664,You're college
665,"students, right?"
667, Right on.
668, That's right.
670,You should think.
672,It is time for you
673,"to understand that you,"
675,as the growing intellectuals
676,"of this country,"
678,that you must define beauty
679,for black people.
681, Okay!
682," Now, that's Black Power."
684,Let me ask you something.
685,Is beauty defined
687,as someone
688,with a narrow nose?
690, No!
691, Thin lips?
693,No!
695,White skin?
697,Hell no!
699, Hell no.
700, Hell no!
702,'Cause you ain't got
703,none of that.
705,No. Okay.
707,Our lips are thick.
709, Yes.
710," Yes, they are!"
712,Our noses broad.
714, Our hair is nappy.
715, Yes!
717,"We are black,"
718,and we are beautiful!
720, Yes!
721, Boom-shaka-laka!
723,"You see,"
725,we want to be so much
726,like the white people
728,who oppress us
729,in this country.
731, Nope!
732," And because they hate us,"
734,and because we are ashamed
735,"of our African heritage,"
737,we then hate ourselves.
739,Preach.
741,Y'all don't hear me tonight.
743,We hear you.
745,Y'all dig Tarzan?
747,Tarzan. I'm gonna be honest.
749,"When I was a boy, I used to go"
750,to the Saturday matinees
752,and watch Tarzan
753,all the time.
755, Okay.
756," Yeah, yeah."
758,And white Tarzan used to
759,beat up the black natives.
761,"And I would sit there,"
762,"yelling, ""Kill the beasts!"
764,"""Kill the savages."
766,"""Kill them."
768,"""Kill them! Kill them!"
769,"Kill them!"""
771,But what I was saying
772,"was, ""Kill me."""
774,That's right.
776,It was as if a young Jewish boy
777,saw Nazis
779,taking Jews off
780,to concentration camps
782,and cheered them on.
784,"Today, I want those chiefs"
785,to beat the hell out of Tarzan
787,and send his lily-white ass
789,on back to the caves of Europe.
791,Boom-shaka-laka!
792, Right on.
794,Right on.
796,But it takes time.
798,It takes time to become
799,free of the lies
801,and their shaming effects
802,on the black mind.
804, Okay.
805, It takes time to reject
807,"the most important lie,"
809,that black people can't do
810,the same things
812, that white people do.
813, That's a lie.
815,.unless a white person
816,helps them.
818,Talk about it.
820,Black Power also means
821,that we must unite.
823,"We must unite,"
824,and we must organize
826,to form a base
827,to fight racism.
829, Okay!
830, Yes. Yes.
832,To fight our oppressors.
834,The vast majority of Negroes
835,"around this country,"
837,they live
838,in captive communities.
840,And they must endure
841,their oppression
843,"and their conditions,"
844,because and only because
846, they are black and powerless.
847, Educate. Educate.
849,And now.
851,Now we are being shot down
852,like dogs in the streets
854,by white racist cops.
856,Speak the truth.
858,I said
859,we are being shot down
861,in the streets
862,by white racist cops!
864,Fuck the police.
866,We can no longer endure
868,this kind of oppression
869,without retribution.
871,Hell no!
873,No more.
875,"That war in Vietnam,"
877,"it is not only illegal,"
878,it is immoral.
880, That's right.
881, Talk about it.
883,And you know
884,what I tell them?
886,"Hell no, we won't go!"
888,"Hell no, we won't go!"
890,"Hell no, we won't go!"
892,We ain't going!
894,I'd rather see a brother
896,kill a white racist cop
897,than kill a Vietnamese.
899,"Me, too."
901,"Because at least,"
903,if he kills a racist cop
904,"he is doing it for a reason,"
906,because they are
907,shooting black people.
909, That's right.
910," .in the backs,"
912,"in these streets,"
913,right here in this very country.
915, They're killing us like dogs!
916, Boom-shaka-laka!
918,Right here!
920,Right here!
922,"I just want to leave you,"
923,"uh, in closing"
925,'cause I know it's getting late
926,and y'all gotta go party.
928,"I'm sorry, study."
930,We love you!
932,"I just want to leave you,"
934,"sisters and brothers,"
935,with these last words.
937,"If I am not for myself,"
939,who will be?
941,"If I am for myself alone,"
942,who am I?
944, Right.
945," Hear, hear."
947," If not now, when?"
948, When?
950,"And if not you, who?"
952,Who? Who?
954,Who? Who?
956,We need an undying love
957,"for black people, wherever we may be."
959,All power to all the people.
961,All power to all the people!
963,All power to all the people!
965,All power to all the people!
967,"""All power to all the people."""
969,Pretty powerful stuff.
971,"Incredible words,"
972,Brother Kwame.
974, Thank you so much.
975, Thank you.
977,"Thank you, brother."
978,Appreciate it.
980,Brother.
982,I gotta ask you something.
984,Do you really think
986,war between the black race
987,and the white race is inevitable?
989,Let me tell you.
990,"Arm yourself, brother."
992,"Get ready,"
993,'cause the revolution is coming.
995,"Pick up a gun and arm yourself,"
996,"because trust me, it's coming."
998, Thank you for coming tonight.
999, God bless you.
1001,You looked great
1002,on that stage tonight.
1004," Thank you, my brother."
1005, All right.
