,tweet,hate_speech_label
0,   As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,0
1,   boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place,0
2,   You ever fuck a bitch and she start to cry? You be confused as shit,0
3,    she look like a tranny,0
4,   The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,0
5,""" The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes """,0
6,""" I can not just sit up and HATE on another bitch .. I got too much shit going on""",0
7, cause I'm tired of you big bitches coming for us skinny girls,0
8,""" &amp; you might not get ya bitch back &amp; thats that """,0
9,"""  fighting Mariam""

bitch",0
10,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",0
11,""" Murda Gang bitch its Gang Land """,0
12,""" So hoes that smoke are losers ? "" yea ... go on IG",0
13,""" bad bitches is the only thing that i like """,0
14,""" bitch get up off me """,0
15,""" bitch nigga miss me with it """,0
16,""" bitch plz whatever """,0
17,""" bitch who do you love """,0
18,""" bitches get cut off everyday B """,0
19,""" black bottle &amp; a bad bitch """,0
20,""" broke bitch cant tell me nothing """,0
21,""" cancel that bitch like Nino """,0
22,""" cant you see these hoes wont change """,0
23,""" fuck no that bitch dont even suck dick ""  the Kermit videos bout to fuck IG up",0
24,""" got ya bitch tip toeing on my hardwood floors ""  http:",0
25,""" her pussy lips like Heaven doors "" ",0
26,""" hoe what its hitting for """,0
27,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" ",0
28,""" i need a trippy bitch who fuck on Hennessy """,0
29,""" i spend my money how i want bitch its my business """,0
30,""" i txt my old bitch my new bitch pussy wetter """,0
31,""" i'd say im back to the old me but my old bitches would get excited "" ",0
32,""" if you aint bout that Murder Game pussy nigga shut up """,0
33,""" if you're toes ain't done you pussy stinks """,0
34,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,0
35,""" is that ya bitch """,0
36,""" it aint nothing to cut a bitch off """,0
37,""" jus meet son now he ya mane ass bitches "" ",0
38,""" lames crying over hoes thats tears of a clown """,0
39,""" like Snoop said in 94 we dont love these hoes """,0
40,""" momma said no pussy cats inside my doghouse """,0
41,""" most hated but the hoes favorite ""   # http:",0
42,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http:",0
43,""" pimps up pimps up hoes down "" Future voice",0
44,""" post a picture of that pussy get 200 likes """,0
45,""" pussy is a powerful drug ""   http:",0
46,""" quick piece of pussy call it a drive by """,0
47,""" running round here like some brand new pussy thats bout to get fucked """,0
48,""" these bitches even worst they'll send them guys for you """,0
49,""" these hoes like niggas that spend money not talk bout it """,0
50,""" we dont trust these niggas all these bitches """,0
51,""" yall niggas b cuffing hoes cause yall aint never have bitches """,0
52,""" you dodge a bullet ""   ""All da bitches I cut off pregnant or bound to be ....thank God """,0
53,""" young Pill Chamberlain these bitches love my music """,0
54,""" Teanna Trump probably cleaner than most of these twitter hoes but.........""",0
55,""" Gay niggas couldn't wait to act like bitches tonight""",0
56,"""  He a bitch you should do it""",0
57,"""&amp; he's gone always be a hoe""",0
58,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",0
59,"""..All I wanna do is get money and fuck model bitches"" - Russell Simmons",0
60,""" I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers"". Retweet",0
61,""" I'm a fucking fag they said""",0
62,""""" how does doing this stuff make him a pussy?",0
63,""""" woof woof hot scally lad",0
64,""" Have ya ever asked your bitch for other bitches - kanye voice"" Yes",0
65,""" How u gone bring ur side bitch to a game where You know Ya gf friends at ? "" I SWEAR",0
66,""""" woof woof and hot soles",0
67,""" Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",0
68,"""",0
69,""" Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",0
70,""" Why the eggplant emoji doe?""y he say she looked like scream lmao",0
71,""""" that's one sexy bitch",0
72,""" Him seh me pussy wetter then a shower curtain...."";lmao",0
73,"""  and every  need to see that pic I just posted because that bitch just said the most racist shit""",0
74,"""""
",0
75,"""""
Awwwwe This is soooo ADORABLE",0
76,"""  I ain't shit ."" Damn Skippy lol",0
77,""" u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b ;30%chance",0
78,""""" 0 rings 0 mvps 0 bitches lol",0
79,""" ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn """,0
80,""""" he's a pussy with not tattooing them nipples",0
81,"""    Bitches be wanting to act like niggas so bad  that shit aint cuteeeee"" but niggas act like bitches..",0
82,""""" woof woof",0
83,""""" yeah she's a hoe",0
84,""" Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",0
85,"""   queer"" gaywad",1
86,"""  faggot read my tweets after dat k"" it wasn't even funny lol",0
87,""""" fr ..... LULWHORE",0
88,""" I been kidnapped yo bitch""",0
89,"""  alsarabsss"" hes a beaner smh you can tell hes a mexican",1
90,"""  happy birthday nigs"" Thanks yo",0
91,""""" this bitch need to go",0
92,"""",0
93,""" What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",0
