,sentence,label
0,﻿Have you seen Dr. Meade?,0
1,Dr. Meade!,0
2,"Oh, can you help me find Dr. Meade?",0
3,"God, help us.",0
4,"God, save the Confederacy!",0
5,"Hello, my fellow Americans.",0
6,They say we may have lost the battle but we didn't lose the war.,0
7,"Yes, my friends, we are under attack.",0
8,You may have read about this in your local newspapers or seen it on the evening news.,0
9,That's right.,0
10,We are living in an era marked by the spread of integration and miscegenation.,0
11,The Brown decision.,0
12,Ah-ah-ah!,0
13,"The Brown decision, forced upon us by the Jewish-controlled puppets on the U.S. Supreme Court, compelling white children to go to school with an inferior race, is the final nail in a coffin.",0
14,Is the final nail in a black coffin towards America becoming a mongrel nation.,0
15,We had a great way of life. We had.,0
16,"Ma, ma, ma, ma, ma!",0
17,We had a great way of life.,0
18,We had a great way of life until the Martin Luther Coons of this world and their army of Commies started their civil rights assault against our holy white Protestant values.,1
19,Do you really want your precious white child going to school with Negroes?,1
20,"They're lying, dirty monkeys, stopping at nothing to gain their equality with white men.",0
21," Oh, my God.",0
22," Rapists, murderers, craving the virgin white.",0
23," Is it ""virgin pure""?",0
24, Yes.,0
25,"Rapists, murderers, craving the virgin pure flesh of white women.",0
26,They are super predators!,0
27,"And the Negro's insidious tactics, under the tutelage of high-ranking, blood-sucking Jews, using an army of outside northern black beast.",1
28,"What is it? ""Black beast.""  ""Agitators.""  God, watch this! God!",0
29,Using an army of outside northern black beast agitators determined to overthrow the God-commanded and biblically inspired rule of the white race.,1
30,It's an international Jewish conspiracy.,1
31,May God bless us all.,0
32,"God bless you, too, sir.",0
33,Why weren't you drafted into the Vietnam War?,0
34,"I went to college, sir.",0
35,How do you feel about Vietnam?,0
36,"I have mixed feelings, sir.",0
37,Would you call yourself a womanizer?,0
38," No, I would not, sir.",0
39, You frequent nightclubs?,0
40," No, sir.",0
41, Do you drink?,0
42,"Only on special occasions, sir.",0
43,Ever done any drugs?,0
44,"Only those prescribed by my doctor, sir.",0
45,"Well, that's kind of rare for a young, hip soul brother like you.",0
46,"Uh, yes, sir.",0
47,"But my father was in the military, and my parents, they raised me the right way.",0
48,"How do you get along with people, generally?",0
49,"Sir, they treat me right, I treat them right.",0
50,"Like I said before, I was raised up the right way, so.",0
51,"I mean, have you ever had any negative.",0
52,What would you do if another cop called you a nigger?,0
53,Or worse.,0
54,"Would that happen, sir?",0
55,Shit.,0
56,There's never been a black cop in this city.,0
57,"Now, if we make you an officer, you will, in effect, be the Jackie Robinson of the Colorado Springs Police Force.",0
58,"And if you know anything about Jackie Robinson, you know he had to take a lot of, uh, guff from his fellow teammates, the fans, other teams and the press.",0
59,"I know the Jackie Roosevelt Robinson story, sir.",0
60,"Good. So, knowing that, if somebody calls you a nigger, will you be able to turn the other cheek?",0
61,"If I had to, sir, yes.",0
62,"Yes, I would.",0
63,"Son, the mayor, the Chief and I think you might be the man to open things up around here.",0
64,Chief Bridges will be your Branch Rickey.,0
65,I'll have your back.,0
66,But I can only do so much.,0
67,The weight of this is going to be on you and you alone.,0
68,"Thank you for the opportunity, gentlemen.",0
69, Wow. Cybill Shepherd.,0
70, Yeah.,0
71,I loved her in The Last Picture Show.,0
72,Never saw it.,0
73,I don't like black-and-white movies.,0
74,"So, what do you think?",0
75,I think she's a really good actress.,0
76,"Oh, come on. You know you want some of that.",0
77,Looking for a toad here.,0
78,You're up.,0
79,"Give me the record for that toad, Maurice Smalls.",0
80,"While you're at it, grab another toad, Tippy Birdsong.",0
81,T-I-P-P-Y.,0
82,Can I help you?,0
83,"May I have a minute, please?",0
84,Sit.,0
85,"Sergeant Trapp, Chief Bridges, I'll get right to it.",0
86,I'd like to be an undercover detective.,0
87,"What, like Narcotics?",0
88,"Whichever department works, sir.",0
89,"You just joined the force, rookie.",0
90,I think I can do some real good there.,0
91, Is that right?,0
92, I'm young.,0
93,There's a real niche for me.,0
94,Get in where I fit in.,0
95,"You think a lot of yourself, don't you?",0
96,I'll do whatever it takes.,0
97,And I hate the records room.,0
98,Well.,0
99,"I think records is a good place for you to start, rookie.",0
100,"Chief, do you want me clean-shaven?",0
101,I can even chop down the natural.,0
102,"No, no, no. You keep it.",0
103,I like the look.,0
104,I need a file on a toad.,0
105,You deaf?,0
106,I said I need a file on a toad.,0
107, No toads here.,0
108, Excuse me?,0
109,I said I don't have any toads.,0
110,I do have human beings.,0
111,"You give me their names, I'll get you the file.",0
112,"I heard you think you're hot shit, but you ain't nothing but a cold fart.",0
113,The name is Steven Wilson.,0
114,"Was that respectful enough for you, Officer Toad?",0
115, Hello.,0
116, It's Bridges.,0
117,You sleeping?,0
118,"Uh, yeah, Chief.",0
119,Um.,0
120,Worked an all-night shift.,0
121,I've changed my mind.,0
122,You're coming in a little early today.,0
123,I got an assignment for you.,0
124,12:00 noon sharp.,0
125,Narcotics division.,0
126," Yes, sir.",0
127, Wear street clothes.,0
128,Thank you.,0
129,CP time?,0
130,"Jimmy, the rookie's late.",0
131," You're late, rookie.",0
132, Sorry. Won't happen again.,0
133,"We have limited time, so I'll be quick.",0
134,"The black radical, Stokely Carmichael, is giving a speech tonight at Bell's Nightingale.",0
135, Yep.,0
136, Carmichael is a former high-muckety-muck with the Black Panthers.,0
137,"And as far as I'm concerned, FBI Director J. Edgar Hoover was dead right when he said the Black Panthers are the greatest internal threat to the security of these United States.",0
138,"This Carmichael joker, former Panther or not, well, they say he is a damn good speaker, and so we don't want this Carmichael getting into the minds of the good black people here in Colorado Springs and stirring them up.",0
139,"Ron, your assignment is to go to this speech tonight, infiltrate this bunch of subversives and just monitor the audience reaction to Carmichael's speech.",0
140, You ready?,0
141, Born ready.,0
142,I'm not ready.,0
143,Any chance this thing fucks up?,0
144,"Oh, fuck yeah.",0
145,Then what?,0
146, Just stick to the game plan.,0
147, Which is?,0
148,"Eh, improvise.",0
149, Like jazz.,0
150, Like bebop.,0
151,This isn't some big bust.,0
152,We just want some intel.,0
153,That's it.,0
154,And what if someone offers you a marijuana cigarette?,0
155, You mean a joint?,0
156, Yeah.,0
157,Mary Jane.,0
158,Excuse me.,0
159,"Soul brother, I'm already high on life. Can you dig it?",0
160, It's dug.,0
161, My man.,0
162,And if someone pulls a gun on you?,0
163,Will that happen?,0
164, Barrel of a.45 in your face.,0
165, Shit.,0
166,Finger on the trigger.,0
167,Now what?,0
168,"Blood, get that gun out of my face.",0
169,"Peace, love and soul.",0
170,Gun is still in your face.,0
171,"I de-escalate, talk calmly, firmly.",0
172,Find a way out of there ASAP.,0
173,Relax. We'll be outside listening in.,0
174, Okay.,0
175, Got it?,0
176,I got it. I'm gone.,0
177,Here we go.,0
178, We need to take action.,0
179, I can't believe he's here.,0
180,I just have so many questions to ask him.,0
181,"But, um.",0
182,"How are you, uh.",0
183,"How are you doing this evening, my sister?",0
184,Can we help you?,0
185,"I'm doing fine, my brother.",0
186,What? We don't know him.,0
187,"What? Hakeem, why you dragging me?",0
188,It's going to be an amazing night.,0
189,"Indeed, it is.",0
190,Have you heard Brother Kwame speak before?,0
191,Who?,0
192,Kwame Ture.,0
193,"Oh! Well, actually, I haven't, but.",0
194, Okay.,0
195, I didn't realize he changed his name.,0
196,"Yes, after he moved to Africa.",0
197,"He took the names of Kwame Nkrumah of Ghana and his mentor, Sékou Touré of Guinea, to honor the great leaders.",0
198," Well, that is heavy.",0
199, Mmm-hmm.,0
200,You know how he got to Colorado Springs?,0
201,"Yeah, yeah.",0
202,The Colorado College Black Student Union invited him.,0
203," Oh, I can dig it. I can dig it.",0
204, Mmm-hmm.,0
205,Are you.,0
206,Are you part of the Union?,0
207,I'm the president.,0
208,Really? I'm talking to the president right now?,0
209,"Yes, you are.",0
210,"Right on, sister.",0
211,"Well, I bought a ticket.",0
212,May I skip the line since I'm talking to the president?,0
213,There's no cutting in line.,0
214,To the back.,0
215,See you inside?,0
216,"I'll see you inside, my brother.",0
217, Mrs. President.,0
218, Right on.,0
219,"Ungawa, Black Power!",0
220,The Black Student Union of Colorado College is honored to bring the vanguard of revolutionaries fighting for the rights of black people all over the world.,0
221,"Let's show some black love to the one and only, the brother man with a plan  who is sticking it to the man.",0
222," Right on, right on.",0
223,"Put your hands together, my people, for our Kwame Ture.",0
224,"Thank you, Sister Patrice.",0
225, Thank you.,0
226, And the Black Student Union.,0
227,"I want to thank all of you, my beloved sisters and brothers, for coming out tonight.",0
228,Okay!,0
229,But I'm here tonight to tell you that it is time for you to stop running away from being black.,1
230,Boom-shaka-laka!,0
231,It is time for you to stop running away from being black.,1
232,"You're college students, right?",0
233, Right on.,0
234, That's right.,0
235,You should think.,0
236,"It is time for you to understand that you, as the growing intellectuals of this country, that you must define beauty for black people.",0
237, Okay!,0
238," Now, that's Black Power.",0
239,Let me ask you something.,0
240,Is beauty defined as someone with a narrow nose?,0
241, No!,0
242, Thin lips?,0
243,No!,0
244,White skin?,0
245,Hell no!,0
246, Hell no.,0
247, Hell no!,0
248,'Cause you ain't got none of that.,0
249,No. Okay.,0
250,Our lips are thick.,0
251, Yes.,0
252," Yes, they are!",0
253,Our noses broad.,0
254, Our hair is nappy.,0
255, Yes!,0
256,"We are black, and we are beautiful!",1
257, Yes!,0
258, Boom-shaka-laka!,0
259,"You see, we want to be so much like the white people who oppress us in this country.",0
260, Nope!,0
261," And because they hate us, and because we are ashamed of our African heritage, we then hate ourselves.",1
262,Preach.,0
263,Y'all don't hear me tonight.,0
264,We hear you.,0
265,Y'all dig Tarzan?,0
