,sentence,label
0,"Figaro, Figaro, Figaro, Figaro, Figaro, Figaro, Figaro, Figaro, Figaro, Figaro, Figaro Figaro! Son qua Figaro! Son qua Figaro qua, Figaro là, Figaro qua, Figaro là, Figaro su, Figaro giù, Figaro su, Figaro giù Pronto prontissimo, son come il fulmine, sono il factotum della città Della città, della città, della città, della città Phew!",1
1,"Ah bravo Figaro, bravo bravissimo, ah bravo Figaro, bravo bravissimo A te fortuna, a te fortuna, a te fortuna non mancherà La la la la la la, la la la la la la, la la la la la la, la la la la A te fortuna, a te fortuna, a te fortuna non mancherà Sono il factotum della città Sono il factotum della città Della città, della città Della città  Oops.",1
2," Salutations, snack.",0
3,Yipe. On second thought.,0
4,Yiiipe!,0
5,9-1-1! 9-1-1!,0
6,Police! Civic authorities! ASPCA! ASAP!,0
7,Murder! Betrayal! Kidnapped!,0
8,"No, birdnapped!",1
9,"A cup of garlic, a twist of parakeet.",1
10,"Eat your heart out, Julia Child.",0
11,"Excuse me, but isn't it customary for the jailbird to get one telephone call?",0
12,"In your case, I think not.",0
13,Afternoon snacks have few civil liberties.,0
14,But I'm not wholly without heart.,0
15,How about a nice soothing cigarette?,0
16,Pah! Agh! Ugh!,0
17,"Oh, I will not do this. I cannot!",0
18,"Oh, what a foul way for a bird to die!",0
19,I don't want to get beak cancer.,1
20,No! My lungs are blackened!,0
21,"Here we go again. Cut, cut, cut! Roll it back.",0
22, Help me.,0
23, What are you doing? Daniel.,0
24,That line is not in the script.,0
25,Why did you add it?,0
26, I wanted to comment on the situation.,0
27, What situation?,0
28,Shoving a cigarette into Pudgie's mouth is morally irresponsible.,0
29,"This is a cartoon, not a friggin' Oprah Winfrey Special.",0
30,"Lou, millions of kids see this cartoon.",0
31,"It's like telling them ""Light up."" You can't put words in Pudgie's mouth if his mouth isn't moving.",1
32,It's voice-over. An interior monologue.,0
33,Maybe even the voice of God.,1
34,"Pudgie, don't smoke.",0
35, Actors.,0
36, What? Let's ask the technicians.,0
37,Do you think it's morally right to promote smoking to the youth of America?,0
38,They're biased. That's a mistrial.,0
39,"Daniel, this session is costing the studio thousands.",0
40,"If you want a paycheck, stick to the script.",0
41,"If you want to play Gandhi, then do it on somebody else's time.",0
42,Then I've got to do what I've got to do.,0
43,That's very funny.,0
44,Where the hell are you goin'?,0
45,"If you leave, you're not comin' back in.",0
46,"I'm not takin' any crap from you, pal.",0
47,"Well, in the words of Porky Pig: P-P-P-P-P-P-Piss off, Lou.",0
48, So what about that history test?,0
49, Don't ask.,0
50, Did you have fun in school?,0
51, I painted a picture of a rainbow.,0
52,Dad? - Daddy!,0
53,Daddy!,0
54, I thought you couldn't pick us up.,0
55," Well, I got off early.",0
56, You mean you got fired?,0
57," No, I quit. for reasons of conscience.",0
58,Actors.,0
59," Dude, congratulations on your 12th birthday. Got a surprise for ya.",0
60, A stripper?,0
61," Ooh, please!",0
62, Two strippers?,1
63," Hoo-hah, boy!",0
64, A party?,0
65, Yes!,0
66,No. No parties.,0
67,Mom said you couldn't have one because of your report card.,0
68," Mom's not gonna be home for another four hours, is she?",0
69,Prepare yourself. for the wild kingdom.,0
70,Coming up toward the very end.,0
71,There she goes. And she wins that race.,0
72,Come on off now. Here we go.,0
73,You want to feed him?,0
74,See if this guy will.,0
75,Oops. Sorry.,0
76,Shoo! Get out!,0
77,Shoo! Shoo!,0
78," Gregory, Henderson and Hillard.",0
79," Miranda Hillard, please.",0
80,"I know what you're going for with these murals, but perhaps if they weren't so large.",0
81," And let's do steel windows, not wood.",0
82, Uh-huh.,0
83,Eliminate the oriental rug.,0
84,Let's try an Aubusson carpet.,0
85, More pink than red.,0
86, Good idea.,0
87,Union Square lnn. This is better.,0
88,"More Arts and Crafts. A Dirk Van Erp lamp, a Stickley chair. Don't be seduced by chintz.",0
89,"Excuse me. Miranda, can I speak to you for a minute?",0
90, Yes. Excuse me.,0
91, Certainly.,0
92,Just be one minute.,0
93,I just got off the phone with a Stuart Dunmeyer.,0
94, Stuart Dunmeyer?,0
95, Mm-hm. He said you were acquaintances.,0
96,Stuart Dunmeyer?,0
97,He's putting millions into restoring the old Wellman mansion on Nob Hill.,0
98, He wants to make it into a $500-a-night B&B.,0
99," Yes, I read about it.",0
100, He's been doing very well.,0
101," Mm-hm, that's him.",0
102,"And he specifically asked for you, Miranda.",0
103,He did?,0
104, I told him you'd call first thing tomorrow.,0
105," Yes, I will.",0
106,Miss Hillard? The operator has a Gloria Chaney on hold.,0
107, She says it's an emergency.,0
108, Excuse me.,0
109,Gloria?,0
110," Oh, my God!",0
111," Is this your residence, ma'am?",0
112,"Yes, I'm sorry to say it is.",0
113,Are you aware it's illegal to possess barnyard animals in a residential area?,0
114, What if you're married to one?,0
115, We're also responding to a noise violation.,0
116,I'm going to respond myself.,0
117,I'm awfully sorry about this. I'll.,0
118,You ate my begonias! God!,0
119,Get out of my way!,0
120,"Jump around Jump around Jump around Jump up, jump up and get down Everybody jump, jump, jump, jump, jump Oh. Shoo! Get! Get!",0
121,"I'm the cream of the crop I rise to the top I never eat a pig, cos a pig is a cop Or better yet a Terminator like Arnold Schwarzenegger Try to play me out, like as if my name was Sega I'm comin' to get ya, I'm comin' to get ya Spittin' out lyrics, homey I'll wet ya I came to get down, I came to get down.",1
122,Hah!,0
123,Miranda! Whassup?,0
124,"You're home early, girlfriend.",0
