,utterance,annotation_algo
0,"Figaro, Figaro, Figaro, Figaro, Figaro, Figaro, Figaro, Figaro, Figaro, Figaro, Figaro Figaro! Son qua Figaro! Son qua Figaro qua, Figaro là, Figaro qua, Figaro là, Figaro su, Figaro giù, Figaro su, Figaro giù Pronto prontissimo, son come il fulmine, sono il factotum della città Della città, della città, della città, della città Phew!",
1,"Ah bravo Figaro, bravo bravissimo, ah bravo Figaro, bravo bravissimo A te fortuna, a te fortuna, a te fortuna non mancherà La la la la la la, la la la la la la, la la la la la la, la la la la A te fortuna, a te fortuna, a te fortuna non mancherà Sono il factotum della città Sono il factotum della città Della città, della città Della città  Oops.",
2," Salutations, snack.",
3,Yipe. On second thought.,
4,Yiiipe!,
5,9-1-1! 9-1-1!,
6,Police! Civic authorities! ASPCA! ASAP!,
7,Murder! Betrayal! Kidnapped!,
8,"No, birdnapped!",
9,"A cup of garlic, a twist of parakeet.",
10,"Eat your heart out, Julia Child.",
11,"Excuse me, but isn't it customary for the jailbird to get one telephone call?",
12,"In your case, I think not.",
13,Afternoon snacks have few civil liberties.,
14,But I'm not wholly without heart.,
15,How about a nice soothing cigarette?,
16,Pah! Agh! Ugh!,
17,"Oh, I will not do this. I cannot!",
18,"Oh, what a foul way for a bird to die!",
19,I don't want to get beak cancer.,
20,No! My lungs are blackened!,
21,"Here we go again. Cut, cut, cut! Roll it back.",
22, Help me.,
23, What are you doing? Daniel.,
24,That line is not in the script.,
25,Why did you add it?,
26, I wanted to comment on the situation.,
27, What situation?,
28,Shoving a cigarette into Pudgie's mouth is morally irresponsible.,
29,"This is a cartoon, not a friggin' Oprah Winfrey Special.",
30,"Lou, millions of kids see this cartoon.",
31,"It's like telling them ""Light up."" You can't put words in Pudgie's mouth if his mouth isn't moving.",
32,It's voice-over. An interior monologue.,
33,Maybe even the voice of God.,
34,"Pudgie, don't smoke.",
35, Actors.,
36, What? Let's ask the technicians.,
37,Do you think it's morally right to promote smoking to the youth of America?,
38,They're biased. That's a mistrial.,
39,"Daniel, this session is costing the studio thousands.",
40,"If you want a paycheck, stick to the script.",
41,"If you want to play Gandhi, then do it on somebody else's time.",
42,Then I've got to do what I've got to do.,
43,That's very funny.,
44,Where the hell are you goin'?,
45,"If you leave, you're not comin' back in.",
46,"I'm not takin' any crap from you, pal.",
47,"Well, in the words of Porky Pig: P-P-P-P-P-P-Piss off, Lou.",
48, So what about that history test?,
49, Don't ask.,
50, Did you have fun in school?,
51, I painted a picture of a rainbow.,
52,Dad? - Daddy!,
53,Daddy!,
54, I thought you couldn't pick us up.,
55," Well, I got off early.",
56, You mean you got fired?,
57," No, I quit. for reasons of conscience.",
58,Actors.,
59," Dude, congratulations on your 12th birthday. Got a surprise for ya.",
60, A stripper?,
61," Ooh, please!",
62, Two strippers?,
63," Hoo-hah, boy!",
64, A party?,
65, Yes!,
66,No. No parties.,
67,Mom said you couldn't have one because of your report card.,
68," Mom's not gonna be home for another four hours, is she?",
69,Prepare yourself. for the wild kingdom.,
70,Coming up toward the very end.,
71,There she goes. And she wins that race.,
72,Come on off now. Here we go.,
73,You want to feed him?,
74,See if this guy will.,
75,Oops. Sorry.,
76,Shoo! Get out!,
77,Shoo! Shoo!,
78," Gregory, Henderson and Hillard.",
79," Miranda Hillard, please.",
80,"I know what you're going for with these murals, but perhaps if they weren't so large.",
81," And let's do steel windows, not wood.",
82, Uh-huh.,
83,Eliminate the oriental rug.,
84,Let's try an Aubusson carpet.,
85, More pink than red.,
86, Good idea.,
87,Union Square lnn. This is better.,
88,"More Arts and Crafts. A Dirk Van Erp lamp, a Stickley chair. Don't be seduced by chintz.",
89,"Excuse me. Miranda, can I speak to you for a minute?",
90, Yes. Excuse me.,
91, Certainly.,
92,Just be one minute.,
93,I just got off the phone with a Stuart Dunmeyer.,
94, Stuart Dunmeyer?,
95, Mm-hm. He said you were acquaintances.,
96,Stuart Dunmeyer?,
97,He's putting millions into restoring the old Wellman mansion on Nob Hill.,
98, He wants to make it into a $500-a-night B&B.,
99," Yes, I read about it.",
100, He's been doing very well.,
101," Mm-hm, that's him.",
102,"And he specifically asked for you, Miranda.",
103,He did?,
104, I told him you'd call first thing tomorrow.,
105," Yes, I will.",
106,Miss Hillard? The operator has a Gloria Chaney on hold.,
107, She says it's an emergency.,
108, Excuse me.,
109,Gloria?,
110," Oh, my God!",
111," Is this your residence, ma'am?",
112,"Yes, I'm sorry to say it is.",
113,Are you aware it's illegal to possess barnyard animals in a residential area?,
114, What if you're married to one?,
115, We're also responding to a noise violation.,
116,I'm going to respond myself.,
117,I'm awfully sorry about this. I'll.,
118,You ate my begonias! God!,
119,Get out of my way!,
120,"Jump around Jump around Jump around Jump up, jump up and get down Everybody jump, jump, jump, jump, jump Oh. Shoo! Get! Get!",
121,"I'm the cream of the crop I rise to the top I never eat a pig, cos a pig is a cop Or better yet a Terminator like Arnold Schwarzenegger Try to play me out, like as if my name was Sega I'm comin' to get ya, I'm comin' to get ya Spittin' out lyrics, homey I'll wet ya I came to get down, I came to get down.",
122,Hah!,
123,Miranda! Whassup?,
124,"You're home early, girlfriend.",
125,Havin' a birthday in the house.,
126,What the hell is going on around here?,
127,"Don't get mad, honey. Listen.",
128,You're home a little early. I was gonna clean it all up before you got home.,
