,dialog,label_word_embedding_fox_news
0,That one wants us to sail them back.,hate speech
1,That one thinks he can sail all the way back without us.,hate speech
2,Yes. East. To the sun.,hate speech
3,I understand. You can trust me.,not hate speech
4,To Africa.,hate speech
5,"Well, I have to tack, don't I?",hate speech
6,Tack. You'd rather I didn't.,not hate speech
7,You want to get there? I have to tack.,hate speech
8,You're going to get us killed.,not hate speech
9,"Yea, yea, yea, now go take a bath.",hate speech
10,We have to signal them.,hate speech
11,"When the ship gets close, he'll run and hide.",hate speech
12,Then we both start yelling.,hate speech
13,They'll search the ship.,not hate speech
14,Get ready.,hate speech
15,Six Weeks Dolly!,not hate speech
16,Dolly!,not hate speech
17,"Carry on, Mr. Packwood!",not hate speech
18,"Aye, aye, sir!",not hate speech
19,Straight ahead!,not hate speech
20,Fire over their heads!,not hate speech
21,Steady on.,not hate speech
22,Open the gate!,not hate speech
23,"Come on, come on, come on!",not hate speech
24, Move along!,not hate speech
25," Come on, let's go!",not hate speech
26,Move along!,hate speech
27, Forward! Come on!,not hate speech
28, Keep it going!,not hate speech
29,Come along! Get moving!,hate speech
30, Don't stop there! Keep moving!,hate speech
31, Make way for the stinking heathens!,not hate speech
32,"All right, move on.",not hate speech
33,Lock 'em up!,hate speech
34,Gates! Gates! Gates!,not hate speech
35,Push 'em in!,hate speech
36,"Isabella II, Queen of Spain Your Royal Highness.",not hate speech
37,Something's happened.,not hate speech
38, Thank you...,not hate speech
39," Mr. President, sir.",hate speech
40,"The ambassador to Spain, Se̱or Calderon.",hate speech
41,"Martin Van Buren, 8th President of the United States  What?",not hate speech
42, Se̱or Calderon.,not hate speech
43," Yes, all right. Not now. Not now.",not hate speech
44, Ambassador...,not hate speech
45,"It appears to be a matter of certain importance, sir.",not hate speech
46,God bless!,not hate speech
47,I'm trying to drink my brandy after a very long day.,not hate speech
48,I understand. I simply wasn't certain whether this was something  you wanted to take care of personally.,hate speech
49," Leder, there are, what, three, four million Negroes in this country?",not hate speech
50,Why on Earth should I concern myself with these 44?,not hate speech
51,"Well, there are reasons.",hate speech
52,I don't care how. You just take care of it.,not hate speech
53,The ship is the Amistad.,hate speech
54,It's too small to be a transatlantic slaver.,hate speech
55,"So, they're plantation slaves, then?",not hate speech
56,West Indians?,not hate speech
57,Not necessarily.,hate speech
58,At least they certainly don't look it.,hate speech
59,Not from the glimpse I caught of them on their way to jail.,hate speech
60,They have these scars.,hate speech
61, Scars?,not hate speech
62, Yeah.,not hate speech
63,They were first detained by officers of a survey brig off the coast of Long Island.,hate speech
64,"They were conveyed to New Haven, under what authority, I don't know, and given over to the local constabulary.",not hate speech
65,"About 40 of them, including four or five children.",not hate speech
66,The arraignment is day after tomorrow.,hate speech
67,I can only assume that the charge is murder.,hate speech
68,I'll see what I can do about that.,not hate speech
69,Perhaps a writ for illegal arrest and detainment to stall things.,hate speech
70,"At the very least, make sure they have good counsel.",not hate speech
71,Chief!,not hate speech
72,Chief! Chief!,not hate speech
73,He's not a chief.,not hate speech
74,Brother!,not hate speech
75,Brother! Brother!,not hate speech
76,He's not your brother.,not hate speech
77,What is he then?,not hate speech
78,He's a white man.,hate speech
79,"Hear ye, hear ye.",hate speech
80,"In the matter of the district court of the United States of America in this, the year of our Lord, 1839, the honorable Andrew T. Juttson presiding.",not hate speech
81,If it please Your Honor.,not hate speech
82,The bench recognizes District Attorney Holabird.,hate speech
83,"I would like to present the court, Your Honor, with the charges  of piracy and murder against the...",hate speech
84," Your Honor, I have a petition  for a writ of habeas corpus.",not hate speech
85," Your Honor, I was speaking.",not hate speech
86,"Yes, I know, Mr. Holabird.",hate speech
87,"You were reading charges, which, whatever they might be, will be rendered moot by this writ.",not hate speech
88,"That petition for a writ, Mr. Tappan, if, indeed, that's what it is, is moot unless and until an actual writ by some higher court, by some miracle, is granted.",not hate speech
89,"Mr. Holabird is correct, Mr. Tappan.",hate speech
90,"And if you would, sir, while I know it is your custom, please, kindly refrain from impersonating a lawyer, which you patently are not.",not hate speech
91,"As I was saying, Your Honor...",not hate speech
92,Your Honor.,not hate speech
93,Mr. Secretary.,hate speech
94,"Your Honor, I am here on behalf of the President of the United States, U.S. Secretary of State John Forsyth representing the claims of Her Majesty, Queen Isabella of Spain, as concerns our mutual treaty on the high seas of 1795.",not hate speech
95," You have my attention, sir.",not hate speech
96, Thank you.,not hate speech
97,"These slaves, Your Honor, are by rights the property of Spain, and as such, under Article 9 of said treaty are to be returned posthaste.",not hate speech
98,Said treaty taking precedence over all other claims and jurisdictions.,not hate speech
99,"Them slaves belong to me and my mate, Your Majesty.",hate speech
100,"Your Honor, I have not yet read the...",not hate speech
101,Who be you two gentlemen?,not hate speech
102,"""We, Thomas R. Gedney and Richard W. Meade, ""whilst commissioned US Naval officers, ""stand before this court as private citizens, ""and do hereby claim salvage on the high seas ""of the Spanish ship La Amistad and all her cargo.""  Here you go, sir.",not hate speech
103, Your Honor...,not hate speech
104,You wish to make this claim above that of the Queen of Spain?,not hate speech
105,"Where was she, pray, when we was fightin' the winds to bring this vessel in, Your... Honor.",not hate speech
